Gender,Geographic Region,Loyalty Status,Affluence,Age,Purchased Organics
Female,North,Tin,7.0,37.0,0
Female,Midlands,Silver,9.0,76.0,1
Female,North,Tin,6.0,45.0,0
Female,Scottish,Silver,12.0,61.0,0
Male,Midlands,Tin,9.0,47.0,0
Unknown,Midlands,Tin,8.0,52.0,0
Unknown,Midlands,Silver,8.0,40.0,0
Female,Midlands,Tin,5.0,56.0,0
Female,North,Gold,8.0,51.0,0
Female,South East,Gold,9.0,50.0,0
Female,South East,Silver,8.0,41.0,1
Male,South East,Silver,8.0,60.0,0
Female,South East,Silver,10.0,70.0,0
Female,South East,Tin,9.0,50.0,1
Female,Midlands,Tin,15.0,37.0,1
Female,South East,Silver,9.0,74.0,0
Male,Scottish,Gold,9.0,53.0,0
Female,North,Silver,7.0,51.0,0
Female,North,Platinum,5.0,62.0,0
Female,South East,Silver,3.0,46.0,0
Male,North,Gold,10.0,39.0,1
Male,South East,Silver,6.0,53.0,1
Female,South East,Silver,7.0,48.0,0
Female,South East,Gold,7.0,62.0,0
Male,South East,Silver,9.0,26.0,0
Female,South West,Gold,6.0,43.0,0
Female,Midlands,Gold,7.0,78.0,0
Female,Midlands,Gold,3.0,67.0,0
Female,North,Tin,2.0,45.0,0
Female,South East,Gold,13.0,68.0,0
Unknown,South East,Platinum,14.0,74.0,0
Male,Midlands,Tin,5.0,53.0,0
Male,Scottish,Silver,5.0,51.0,0
Female,South East,Silver,6.0,51.0,0
Unknown,South East,Silver,5.0,51.0,0
Male,South East,Tin,11.0,36.0,0
Female,Midlands,Gold,8.0,63.0,0
Female,South East,Silver,8.0,69.0,0
Female,Midlands,Tin,11.0,40.0,1
Female,Midlands,Silver,4.0,46.0,0
Female,South East,Silver,8.0,46.0,1
Female,North,Tin,9.0,38.0,1
Male,North,Gold,4.0,67.0,0
Unknown,North,Platinum,11.0,73.0,0
Female,Scottish,Gold,5.0,53.0,0
Female,Midlands,Silver,6.0,55.0,1
Female,South East,Silver,9.0,54.0,0
Male,South East,Tin,6.0,45.0,0
Female,North,Silver,5.0,58.0,0
Female,North,Tin,8.0,33.0,1
Male,South East,Tin,11.0,35.0,1
Male,North,Gold,4.0,71.0,0
Male,Scottish,Tin,10.0,55.0,0
Male,South East,Gold,13.0,53.0,0
Female,South East,Silver,9.0,58.0,0
Male,North,Tin,13.0,43.0,0
Female,South East,Tin,8.0,47.0,0
Male,South East,Gold,4.0,74.0,0
Male,North,Silver,10.0,49.0,0
Female,South East,Silver,9.0,58.0,0
Female,Midlands,Tin,8.0,56.0,0
Female,South East,Gold,5.0,47.0,0
Female,Midlands,Silver,14.0,30.0,1
Female,South East,Platinum,3.0,68.0,1
Female,North,Silver,8.0,45.0,0
Female,South East,Gold,7.0,71.0,0
Female,South East,Gold,10.0,65.0,0
Female,South East,Gold,10.0,74.0,0
Female,North,Tin,10.0,43.0,1
Female,South West,Silver,11.0,44.0,0
Unknown,South East,Silver,9.0,65.0,0
Male,South East,Gold,7.0,46.0,0
Female,Midlands,Silver,8.0,29.0,0
Female,Midlands,Tin,7.0,53.0,1
Male,Midlands,Silver,9.0,64.0,0
Male,South East,Silver,10.0,49.0,1
Female,South East,Gold,17.0,59.0,1
Female,North,Tin,8.0,37.0,0
Female,South East,Silver,15.0,51.0,1
Female,Midlands,Tin,8.0,47.0,0
Female,Midlands,Silver,18.0,51.0,0
Female,Scottish,Silver,5.0,58.0,0
Male,South East,Tin,9.0,46.0,0
Unknown,South East,Tin,5.0,48.0,0
Female,Midlands,Gold,4.0,61.0,0
Female,Midlands,Tin,9.0,38.0,1
Male,South East,Gold,7.0,68.0,0
Female,Midlands,Gold,12.0,76.0,0
Female,North,Tin,4.0,56.0,0
Male,North,Silver,8.0,73.0,1
Female,Midlands,Tin,8.0,37.0,1
Female,South East,Silver,11.0,74.0,0
Male,North,Gold,9.0,65.0,0
Female,Midlands,Silver,5.0,60.0,0
Female,Scottish,Silver,10.0,35.0,0
Female,Scottish,Gold,6.0,46.0,0
Female,South East,Gold,3.0,46.0,0
Female,South East,Platinum,5.0,70.0,0
Male,Midlands,Gold,9.0,37.0,1
Unknown,South East,Gold,4.0,46.0,0
Unknown,Scottish,Silver,3.0,68.0,0
Female,South East,Silver,12.0,49.0,0
Female,Midlands,Silver,4.0,63.0,0
Unknown,Midlands,Silver,4.0,62.0,0
Unknown,North,Gold,5.0,74.0,0
Female,South East,Tin,5.0,52.0,0
Female,South East,Tin,7.0,43.0,0
Female,South East,Gold,8.0,64.0,0
Female,North,Silver,12.0,31.0,0
Female,North,Silver,11.0,41.0,0
Female,Midlands,Tin,9.0,45.0,0
Female,South East,Tin,9.0,40.0,0
Female,South East,Gold,7.0,70.0,0
Male,Midlands,Silver,10.0,51.0,0
Female,Midlands,Gold,8.0,52.0,0
Female,South East,Tin,6.0,38.0,1
Female,South East,Silver,8.0,43.0,0
Male,North,Tin,7.0,37.0,0
Male,Scottish,Tin,7.0,42.0,0
Unknown,Midlands,Gold,4.0,22.0,0
Unknown,Midlands,Tin,8.0,31.0,0
Female,North,Silver,15.0,33.0,1
Male,Scottish,Gold,8.0,54.0,0
Female,South East,Silver,5.0,54.0,0
Male,North,Gold,9.0,53.0,0
Female,North,Tin,16.0,37.0,1
Male,North,Tin,3.0,33.0,0
Female,South East,Tin,7.0,65.0,0
Female,Midlands,Silver,14.0,39.0,1
Female,Scottish,Gold,9.0,42.0,1
Male,North,Silver,6.0,67.0,0
Female,Midlands,Tin,11.0,43.0,1
Female,South East,Silver,8.0,50.0,0
Female,Midlands,Tin,13.0,58.0,0
Female,Midlands,Silver,7.0,78.0,0
Male,Midlands,Gold,5.0,79.0,0
Female,South East,Silver,8.0,68.0,1
Female,South East,Silver,9.0,48.0,0
Male,South West,Silver,12.0,35.0,0
Female,Midlands,Tin,9.0,38.0,1
Male,North,Gold,11.0,42.0,0
Male,North,Silver,14.0,50.0,0
Male,North,Tin,4.0,63.0,1
Female,South East,Gold,9.0,75.0,0
Female,South East,Silver,8.0,50.0,0
Female,South East,Tin,2.0,58.0,0
Female,Midlands,Silver,8.0,66.0,0
Female,South East,Silver,6.0,54.0,0
Female,North,Tin,7.0,54.0,0
Female,South East,Tin,18.0,38.0,1
Male,South East,Silver,8.0,55.0,0
Male,Scottish,Tin,8.0,52.0,0
Female,Midlands,Silver,11.0,59.0,0
Male,South West,Silver,6.0,63.0,1
Male,North,Tin,15.0,47.0,0
Female,South East,Tin,6.0,44.0,0
Female,South East,Tin,7.0,39.0,0
Unknown,Midlands,Gold,5.0,72.0,0
Male,Midlands,Tin,8.0,38.0,0
Female,South East,Tin,13.0,72.0,0
Female,Midlands,Gold,7.0,66.0,0
Female,South East,Gold,6.0,78.0,0
Male,Midlands,Gold,9.0,55.0,0
Male,Midlands,Gold,7.0,49.0,0
Female,Midlands,Tin,6.0,45.0,0
Female,Scottish,Silver,5.0,73.0,0
Female,South East,Platinum,8.0,71.0,1
Female,South East,Gold,14.0,52.0,0
Female,Midlands,Tin,11.0,52.0,0
Female,Midlands,Gold,9.0,57.0,0
Male,North,Gold,10.0,63.0,0
Male,North,Tin,20.0,39.0,1
Female,Midlands,Tin,7.0,35.0,1
Female,Midlands,Silver,8.0,58.0,0
Female,Midlands,Tin,10.0,40.0,1
Female,South East,Gold,9.0,61.0,0
Female,North,Silver,13.0,70.0,0
Female,North,Silver,5.0,70.0,0
Female,Midlands,Gold,6.0,60.0,0
Female,South East,Silver,14.0,77.0,0
Female,South East,Silver,10.0,74.0,0
Female,Midlands,Silver,7.0,67.0,0
Male,Midlands,Gold,7.0,51.0,1
Female,Midlands,Silver,18.0,37.0,1
Female,Scottish,Gold,5.0,58.0,0
Female,South East,Silver,6.0,27.0,0
Unknown,South East,Platinum,5.0,72.0,0
Female,South East,Gold,9.0,70.0,0
Male,North,Tin,7.0,51.0,0
Female,Midlands,Silver,10.0,58.0,0
Female,Midlands,Tin,10.0,73.0,0
Female,South East,Silver,7.0,38.0,0
Female,South East,Silver,7.0,71.0,1
Male,South East,Silver,22.0,50.0,1
Female,Midlands,Silver,6.0,51.0,0
Female,Midlands,Tin,10.0,33.0,0
Unknown,Midlands,Silver,6.0,67.0,0
Female,South East,Gold,8.0,64.0,1
Female,South East,Silver,9.0,50.0,0
Unknown,North,Gold,8.0,76.0,0
Female,South East,Gold,5.0,41.0,0
Male,Scottish,Tin,12.0,50.0,1
Female,South West,Gold,13.0,54.0,0
Female,South East,Silver,13.0,45.0,0
Male,South East,Silver,10.0,59.0,0
Male,Scottish,Silver,9.0,66.0,0
Male,North,Tin,5.0,52.0,0
Male,Midlands,Gold,8.0,73.0,0
Unknown,North,Silver,6.0,45.0,0
Female,South East,Tin,9.0,48.0,1
Female,South East,Tin,6.0,60.0,0
Female,Midlands,Gold,11.0,56.0,0
Female,Midlands,Tin,26.0,31.0,1
Male,South East,Tin,9.0,55.0,0
Male,Midlands,Silver,8.0,61.0,0
Male,South East,Silver,9.0,68.0,0
Female,South East,Tin,14.0,47.0,0
Female,Midlands,Silver,3.0,70.0,0
Male,South East,Silver,10.0,40.0,0
Male,Midlands,Tin,10.0,57.0,0
Female,Scottish,Silver,11.0,54.0,0
Female,South East,Gold,9.0,44.0,0
Male,North,Silver,6.0,57.0,0
Female,Scottish,Tin,13.0,45.0,1
Female,South East,Tin,9.0,40.0,1
Female,North,Silver,9.0,22.0,1
Male,South East,Silver,10.0,73.0,0
Unknown,South East,Tin,10.0,44.0,0
Male,Midlands,Tin,5.0,50.0,0
Female,South East,Silver,8.0,76.0,1
Female,South East,Tin,7.0,52.0,0
Female,Midlands,Gold,9.0,48.0,0
Male,Midlands,Tin,9.0,47.0,0
Female,North,Silver,10.0,61.0,1
Male,South West,Silver,8.0,55.0,0
Unknown,Scottish,Tin,10.0,52.0,0
Female,North,Gold,5.0,76.0,1
Male,Scottish,Silver,11.0,47.0,0
Female,Midlands,Gold,12.0,60.0,0
Male,South East,Tin,8.0,49.0,0
Female,South East,Gold,9.0,67.0,1
Male,South East,Silver,4.0,53.0,0
Female,Midlands,Gold,3.0,59.0,0
Male,South East,Gold,8.0,69.0,0
Female,South East,Tin,7.0,27.0,1
Male,South East,Silver,10.0,63.0,0
Female,North,Tin,18.0,41.0,1
Female,South East,Silver,4.0,64.0,0
Male,South East,Gold,8.0,45.0,0
Female,South East,Tin,10.0,46.0,0
Female,Midlands,Tin,6.0,75.0,0
Male,North,Gold,11.0,62.0,0
Male,North,Gold,13.0,64.0,0
Female,Midlands,Silver,11.0,25.0,1
Female,Midlands,Platinum,5.0,46.0,0
Unknown,North,Tin,10.0,39.0,1
Female,South East,Gold,6.0,56.0,0
Unknown,North,Gold,6.0,56.0,0
Male,Scottish,Gold,6.0,62.0,0
Male,South East,Gold,5.0,77.0,0
Female,Midlands,Tin,6.0,48.0,0
Female,North,Silver,4.0,29.0,1
Male,Midlands,Tin,9.0,63.0,0
Unknown,Midlands,Tin,9.0,58.0,1
Female,North,Silver,12.0,68.0,0
Female,South East,Silver,7.0,36.0,1
Female,Midlands,Silver,17.0,43.0,1
Male,South East,Tin,6.0,57.0,0
Female,South East,Tin,6.0,45.0,0
Female,North,Tin,12.0,37.0,1
Male,Midlands,Silver,10.0,44.0,0
Female,South East,Gold,9.0,51.0,0
Female,South West,Gold,7.0,62.0,0
Female,Midlands,Silver,18.0,54.0,1
Male,South East,Silver,7.0,57.0,0
Male,Midlands,Gold,7.0,63.0,0
Male,North,Tin,3.0,51.0,0
Male,Midlands,Gold,11.0,74.0,0
Male,South West,Silver,8.0,56.0,1
Female,Midlands,Tin,4.0,33.0,0
Female,Midlands,Silver,8.0,50.0,0
Male,North,Gold,7.0,72.0,0
Male,Scottish,Silver,8.0,28.0,0
Female,North,Gold,9.0,65.0,0
Female,North,Silver,10.0,39.0,1
Female,South West,Gold,11.0,59.0,0
Female,Midlands,Tin,11.0,43.0,1
Male,North,Tin,10.0,50.0,0
Unknown,South East,Gold,8.0,67.0,0
Male,South East,Tin,9.0,55.0,0
Female,South East,Gold,12.0,48.0,1
Male,South East,Tin,8.0,32.0,1
Female,North,Tin,13.0,38.0,1
Female,Midlands,Silver,9.0,39.0,1
Male,Scottish,Gold,11.0,44.0,1
Female,Midlands,Gold,11.0,57.0,1
Female,Midlands,Gold,5.0,34.0,0
Female,North,Tin,11.0,56.0,1
Male,Midlands,Gold,6.0,69.0,0
Male,South East,Silver,11.0,53.0,0
Female,North,Tin,10.0,33.0,1
Male,North,Silver,6.0,67.0,0
Female,Scottish,Silver,8.0,74.0,0
Female,North,Gold,4.0,73.0,0
Female,South East,Tin,16.0,37.0,1
Female,South West,Silver,7.0,60.0,1
Female,Midlands,Gold,9.0,74.0,0
Female,Midlands,Tin,4.0,49.0,0
Female,South East,Tin,8.0,49.0,0
Female,South East,Platinum,5.0,58.0,0
Female,Midlands,Silver,8.0,43.0,0
Unknown,South East,Gold,5.0,76.0,0
Female,Midlands,Silver,8.0,78.0,1
Female,Midlands,Gold,4.0,76.0,0
Female,Midlands,Silver,15.0,48.0,1
Male,North,Tin,7.0,68.0,0
Male,South East,Platinum,7.0,61.0,0
Male,Scottish,Gold,10.0,64.0,0
Female,North,Gold,10.0,62.0,0
Female,Midlands,Silver,11.0,35.0,1
Female,South East,Silver,8.0,35.0,1
Male,South East,Tin,8.0,55.0,0
Male,South East,Platinum,6.0,63.0,0
Female,North,Tin,7.0,33.0,0
Male,Midlands,Silver,7.0,50.0,0
Male,Scottish,Silver,12.0,57.0,0
Unknown,North,Tin,8.0,42.0,0
Female,Midlands,Silver,11.0,45.0,0
Female,Midlands,Silver,6.0,49.0,1
Male,Scottish,Silver,9.0,70.0,0
Female,North,Tin,6.0,39.0,1
Female,Midlands,Silver,9.0,37.0,1
Female,Scottish,Silver,8.0,62.0,0
Female,South East,Gold,9.0,59.0,0
Male,South East,Silver,15.0,52.0,1
Male,South East,Silver,9.0,50.0,0
Female,South East,Silver,7.0,35.0,1
Female,Midlands,Tin,12.0,39.0,1
Female,Midlands,Tin,19.0,38.0,1
Female,Midlands,Tin,11.0,32.0,0
Female,North,Tin,7.0,30.0,1
Female,North,Tin,10.0,59.0,1
Unknown,South East,Gold,8.0,53.0,0
Male,North,Silver,14.0,53.0,1
Female,Midlands,Tin,12.0,53.0,0
Female,Midlands,Tin,13.0,53.0,1
Male,South West,Tin,7.0,48.0,0
Female,North,Tin,11.0,61.0,1
Female,Midlands,Silver,14.0,76.0,1
Female,North,Tin,11.0,44.0,1
Female,South East,Platinum,9.0,39.0,1
Female,South East,Tin,6.0,35.0,0
Female,North,Gold,11.0,63.0,0
Female,Midlands,Gold,11.0,62.0,0
Female,Scottish,Tin,9.0,50.0,0
Female,North,Tin,12.0,34.0,1
Female,South East,Silver,22.0,30.0,1
Female,North,Tin,10.0,44.0,0
Male,Midlands,Tin,7.0,40.0,0
Female,South East,Silver,11.0,25.0,1
Male,Midlands,Silver,5.0,57.0,0
Female,North,Silver,7.0,23.0,1
Male,South East,Tin,10.0,35.0,1
Female,South East,Tin,12.0,33.0,1
Female,South East,Silver,9.0,46.0,0
Female,South East,Tin,12.0,43.0,1
Unknown,South East,Silver,17.0,33.0,0
Female,Scottish,Tin,14.0,35.0,1
Male,Midlands,Silver,7.0,54.0,0
Female,Scottish,Silver,13.0,66.0,1
Female,South East,Tin,16.0,37.0,1
Male,North,Silver,3.0,58.0,0
Male,South East,Tin,10.0,49.0,0
Female,Midlands,Tin,8.0,36.0,1
Female,South East,Silver,10.0,54.0,1
Male,Midlands,Tin,8.0,55.0,0
Female,South East,Platinum,7.0,72.0,0
Male,North,Tin,7.0,40.0,0
Female,Midlands,Tin,3.0,55.0,0
Unknown,North,Silver,5.0,57.0,0
Female,North,Tin,10.0,63.0,0
Male,Midlands,Platinum,14.0,70.0,0
Unknown,South East,Gold,14.0,56.0,0
Female,Midlands,Gold,12.0,49.0,0
Male,Midlands,Platinum,12.0,70.0,1
Female,North,Gold,3.0,77.0,0
Male,Midlands,Gold,6.0,63.0,0
Female,South East,Gold,6.0,68.0,0
Female,North,Silver,5.0,68.0,0
Male,Midlands,Tin,7.0,49.0,0
Male,North,Silver,7.0,73.0,1
Female,South East,Gold,10.0,59.0,1
Female,Midlands,Gold,11.0,67.0,1
Female,Midlands,Gold,10.0,56.0,0
Female,Midlands,Platinum,7.0,56.0,0
Female,Scottish,Silver,9.0,69.0,0
Male,South East,Gold,8.0,75.0,0
Male,South East,Tin,13.0,42.0,1
Male,Midlands,Silver,6.0,50.0,0
Male,South East,Tin,7.0,51.0,0
Female,North,Gold,12.0,25.0,1
Female,South West,Silver,10.0,50.0,0
Female,Midlands,Silver,9.0,64.0,1
Unknown,Midlands,Silver,7.0,55.0,0
Female,South East,Gold,15.0,61.0,0
Male,North,Gold,11.0,67.0,0
Male,South East,Tin,10.0,37.0,0
Female,Scottish,Silver,9.0,55.0,0
Female,South East,Silver,10.0,67.0,0
Female,Midlands,Tin,12.0,43.0,0
Female,South East,Gold,5.0,45.0,0
Female,South East,Platinum,12.0,75.0,1
Male,Midlands,Silver,5.0,52.0,0
Unknown,North,Gold,10.0,56.0,1
Female,South East,Tin,7.0,61.0,0
Female,Midlands,Gold,8.0,63.0,0
Female,North,Tin,4.0,42.0,0
Female,Midlands,Gold,15.0,53.0,0
Female,North,Silver,7.0,56.0,0
Male,South East,Tin,2.0,40.0,0
Female,South East,Tin,5.0,35.0,0
Male,South East,Silver,7.0,53.0,0
Female,South East,Tin,6.0,35.0,0
Female,South East,Gold,3.0,38.0,0
Unknown,Midlands,Tin,16.0,28.0,1
Female,South East,Silver,8.0,29.0,1
Male,North,Silver,13.0,43.0,0
Female,South East,Silver,6.0,70.0,1
Female,South West,Silver,12.0,65.0,1
Female,South East,Tin,13.0,57.0,0
Female,Midlands,Silver,6.0,73.0,0
Unknown,Midlands,Gold,3.0,73.0,0
Female,North,Gold,9.0,41.0,0
Female,North,Gold,11.0,64.0,0
Female,South East,Tin,7.0,43.0,1
Female,South East,Silver,6.0,32.0,1
Female,Midlands,Gold,2.0,58.0,0
Female,North,Gold,6.0,70.0,0
Male,South East,Silver,16.0,60.0,0
Male,Midlands,Tin,11.0,49.0,0
Male,South East,Tin,9.0,72.0,0
Female,Scottish,Gold,5.0,62.0,0
Female,North,Silver,6.0,49.0,0
Female,Midlands,Silver,7.0,59.0,0
Male,Midlands,Silver,8.0,53.0,0
Male,South East,Tin,9.0,32.0,1
Female,South East,Tin,8.0,37.0,1
Unknown,Midlands,Gold,7.0,60.0,0
Female,North,Silver,20.0,62.0,1
Female,North,Silver,6.0,32.0,1
Female,Midlands,Silver,11.0,79.0,0
Female,South East,Gold,12.0,37.0,1
Female,South East,Gold,8.0,62.0,0
Female,Midlands,Silver,8.0,68.0,0
Female,Midlands,Gold,9.0,51.0,0
Female,Scottish,Silver,13.0,39.0,1
Female,Midlands,Gold,6.0,55.0,1
Female,South East,Silver,3.0,57.0,0
Female,South East,Silver,12.0,50.0,1
Male,Midlands,Tin,9.0,36.0,1
Male,South East,Gold,7.0,51.0,0
Male,South East,Gold,7.0,67.0,0
Male,South East,Platinum,13.0,68.0,0
Female,South East,Silver,16.0,47.0,1
Female,Midlands,Tin,6.0,44.0,0
Male,South East,Silver,7.0,29.0,1
Male,Midlands,Silver,6.0,61.0,0
Female,North,Tin,7.0,69.0,0
Female,South East,Silver,8.0,70.0,0
Female,North,Tin,5.0,43.0,1
Female,Midlands,Gold,6.0,77.0,0
Female,North,Silver,25.0,36.0,1
Female,South East,Gold,8.0,38.0,1
Unknown,South East,Gold,10.0,66.0,0
Male,North,Silver,15.0,58.0,0
Female,North,Tin,7.0,46.0,0
Male,South East,Silver,11.0,63.0,0
Female,North,Tin,4.0,75.0,0
Female,South East,Tin,7.0,54.0,1
Female,South East,Tin,15.0,44.0,1
Male,North,Gold,12.0,65.0,0
Female,North,Silver,6.0,46.0,0
Female,South East,Gold,8.0,67.0,1
Female,South East,Gold,7.0,45.0,0
Male,South East,Silver,5.0,36.0,0
Female,South East,Gold,9.0,27.0,0
Male,Midlands,Gold,8.0,46.0,0
Female,South East,Tin,7.0,37.0,0
Female,North,Gold,6.0,78.0,0
Male,South East,Silver,4.0,79.0,0
Female,Scottish,Silver,7.0,55.0,0
Female,Scottish,Silver,10.0,55.0,0
Female,Midlands,Silver,8.0,52.0,0
Female,Midlands,Gold,8.0,75.0,0
Female,South East,Silver,6.0,44.0,1
Female,North,Silver,10.0,36.0,1
Male,South East,Silver,6.0,64.0,0
Male,North,Tin,7.0,47.0,0
Female,Midlands,Gold,3.0,58.0,0
Male,Midlands,Gold,9.0,48.0,0
Female,Midlands,Silver,6.0,65.0,0
Female,South East,Tin,6.0,44.0,0
Female,Midlands,Gold,5.0,49.0,0
Female,Midlands,Silver,5.0,44.0,1
Female,South East,Gold,12.0,38.0,0
Female,North,Tin,8.0,46.0,0
Female,South East,Tin,10.0,28.0,1
Male,North,Gold,7.0,63.0,0
Female,South East,Gold,6.0,73.0,0
Female,South East,Silver,5.0,74.0,0
Male,South East,Gold,6.0,48.0,0
Female,Midlands,Platinum,11.0,58.0,1
Female,South East,Tin,13.0,71.0,1
Unknown,Midlands,Gold,7.0,65.0,0
Female,North,Gold,10.0,76.0,0
Female,Midlands,Gold,10.0,58.0,0
Male,South East,Silver,8.0,69.0,0
Male,Midlands,Gold,8.0,72.0,1
Female,North,Silver,12.0,33.0,1
Male,South East,Gold,6.0,29.0,0
Female,Scottish,Gold,10.0,39.0,1
Male,South East,Tin,7.0,45.0,0
Female,Midlands,Gold,9.0,68.0,0
Female,South East,Silver,16.0,49.0,1
Female,North,Tin,7.0,74.0,0
Male,Midlands,Gold,14.0,45.0,0
Unknown,Scottish,Silver,12.0,73.0,0
Male,Midlands,Platinum,10.0,54.0,1
Female,South East,Silver,2.0,63.0,0
Male,North,Platinum,18.0,62.0,1
Female,Midlands,Gold,9.0,32.0,1
Male,South East,Tin,11.0,58.0,0
Male,Midlands,Platinum,6.0,58.0,0
Male,South West,Silver,5.0,58.0,0
Female,South East,Tin,13.0,48.0,1
Female,South East,Silver,10.0,57.0,1
Male,South East,Gold,17.0,57.0,0
Female,Midlands,Gold,4.0,65.0,1
Male,South East,Gold,8.0,75.0,1
Unknown,South East,Tin,12.0,34.0,0
Male,South East,Silver,6.0,74.0,0
Female,South East,Tin,6.0,76.0,0
Female,South East,Silver,6.0,58.0,0
Female,South East,Tin,5.0,36.0,0
Female,Midlands,Tin,10.0,37.0,0
Female,Midlands,Tin,13.0,35.0,1
Female,South East,Silver,9.0,43.0,1
Male,Midlands,Tin,10.0,44.0,1
Female,North,Tin,4.0,38.0,0
Unknown,Midlands,Silver,8.0,57.0,0
Female,South East,Gold,13.0,62.0,0
Female,South West,Platinum,9.0,55.0,0
Male,South East,Silver,10.0,46.0,0
Male,Midlands,Silver,7.0,66.0,0
Female,South East,Tin,8.0,56.0,0
Male,South West,Silver,8.0,55.0,0
Male,South East,Tin,8.0,53.0,0
Female,North,Silver,14.0,58.0,1
Female,South East,Tin,8.0,56.0,0
Female,Scottish,Gold,11.0,67.0,1
Female,South West,Tin,8.0,51.0,0
Male,South East,Silver,7.0,65.0,0
Male,North,Silver,13.0,69.0,0
Male,Midlands,Gold,8.0,57.0,0
Female,South West,Tin,11.0,36.0,1
Female,North,Silver,5.0,58.0,0
Female,South East,Gold,7.0,65.0,0
Unknown,South East,Silver,6.0,59.0,0
Male,North,Tin,8.0,51.0,0
Male,Midlands,Silver,7.0,62.0,0
Male,South East,Platinum,6.0,70.0,0
Female,North,Silver,6.0,41.0,1
